sample_id,b01_full_prefill,b03_full_reuse,b40_dV50_tok,b41_dV50_lay,b42_dK50_tok,b43_dK50_lay,b50_mxdv75_tok,b51_mxdv75_lay,b52_mxdv50_tok,b53_mxdv50_lay,b54_mxdv25_tok,b55_mxdv25_lay
q0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
q1,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.28571428571428575,0.0,0.3333333333333333,0.0,0.0,0.0
q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
q5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q6,0.6666666666666665,0.8,0.6666666666666665,0.8,0.6666666666666665,0.6666666666666665,0.8,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.8,0.6666666666666665
q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8,0.4,0.0,0.7499999999999999,0.5714285714285715,0.4,0.4,0.0,0.8,0.0,0.6666666666666666,0.3333333333333333,0.0
q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q10,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
q11,0.0,0.046511627906976744,0.08695652173913045,0.0,0.04081632653061225,0.0392156862745098,0.0625,0.33333333333333337,0.08695652173913045,0.0392156862745098,0.08695652173913045,0.02777777777777778
q12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
q13,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q15,0.28571428571428575,0.3076923076923077,0.5333333333333333,0.22222222222222224,0.32,0.2,0.4444444444444445,0.25,0.47058823529411764,0.22222222222222224,0.4285714285714285,0.25806451612903225
q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
