q,tag,call_idx,gen_len,prose_len,prompt_len,cov5_raw,cov8_raw,cov15_raw,cov30_raw,cov5_prose,cov8_prose,cov15_prose,cov30_prose,longest_raw,longest_prose,copied8_raw,nspans8_raw
q1,RESEARCH_SUMMARY_TEXT,0,790,688,9675,0.2278,0.0696,0.0582,0.0,0.2733,0.0799,0.0669,0.0,23,23,55,2
q1,RESEARCH_SUMMARY_TEXT,1,739,666,9525,0.3559,0.0812,0.0,0.0,0.4039,0.1021,0.0,0.0,12,12,60,6
q1,RESEARCH_SUMMARY_TEXT,2,879,700,10671,0.215,0.083,0.0262,0.0,0.2829,0.1086,0.0329,0.0,23,23,73,6
q1,RESEARCH_SUMMARY_TEXT,3,832,698,10367,0.4964,0.2512,0.0938,0.0,0.596,0.3109,0.1117,0.0,23,23,209,16
q1,RESEARCH_SUMMARY_TEXT,4,881,768,12431,0.6334,0.5221,0.3757,0.1419,0.7174,0.599,0.4297,0.1628,55,55,460,23
q1,RESEARCH_SUMMARY_TEXT,5,886,754,10976,0.4458,0.184,0.0384,0.0,0.508,0.2162,0.0451,0.0,19,19,163,15
q1,RESEARCH_SUMMARY_TEXT,6,1110,993,9710,0.4775,0.2658,0.0459,0.0,0.5408,0.288,0.0514,0.0,21,21,295,24
q1,RESEARCH_SUMMARY_TEXT,7,1433,1115,10394,0.4466,0.3015,0.1856,0.0928,0.5695,0.3857,0.2368,0.1193,36,36,432,26
q1,RESEARCH_SUMMARY_TEXT,8,1686,1312,11362,0.6026,0.4223,0.2764,0.1062,0.7386,0.5457,0.3506,0.1334,42,40,712,34
q1,RESEARCH_SUMMARY_TEXT,9,233,233,13131,0.6223,0.2661,0.0644,0.0,0.6223,0.2661,0.0644,0.0,15,15,62,5
q1,RESEARCH_SUMMARY_TEXT,10,466,463,10959,0.4807,0.1974,0.0408,0.0,0.4903,0.2009,0.041,0.0,19,19,92,9
q1,RESEARCH_SUMMARY_TEXT,11,647,598,9961,0.2025,0.0479,0.0,0.0,0.2224,0.0518,0.0,0.0,13,13,31,3
q1,RESEARCH_SUMMARY_TEXT,12,652,648,10128,0.3037,0.1181,0.0,0.0,0.2948,0.1188,0.0,0.0,13,13,77,7
q1,RESEARCH_SUMMARY_TEXT,13,1222,1030,12764,0.6097,0.4272,0.1686,0.1211,0.7019,0.5,0.1951,0.0864,106,48,522,30
q1,RESEARCH_SUMMARY_TEXT,14,757,658,10062,0.2867,0.0594,0.0489,0.0489,0.3374,0.0684,0.0562,0.0562,37,37,45,2
q1,RESEARCH_SUMMARY_TEXT,15,797,673,8498,0.4655,0.2158,0.0213,0.0,0.5646,0.2571,0.0253,0.0,17,17,172,16
q1,RESEARCH_SUMMARY_TEXT,16,960,799,10300,0.3333,0.1729,0.0344,0.0,0.3855,0.2078,0.0413,0.0,17,17,166,13
q1,RESEARCH_SUMMARY_TEXT,17,1183,1016,10485,0.2139,0.0862,0.0161,0.0,0.3169,0.1004,0.0187,0.0,19,19,102,8
q1,RESEARCH_SUMMARY_TEXT,18,143,143,10190,0.3706,0.1888,0.1049,0.0,0.3706,0.1888,0.1049,0.0,15,15,27,2
q1,RESEARCH_SUMMARY_TEXT,19,147,147,11029,0.3946,0.1701,0.0,0.0,0.3946,0.1701,0.0,0.0,9,9,25,2
q1,RESEARCH_SUMMARY_TEXT,20,573,516,12633,0.4101,0.2147,0.0925,0.0,0.4516,0.2345,0.0736,0.0,20,20,123,10
