q,i,j,same_rq,same_round,url_jac,url_shared,snip_contain8,out_contain8,out_jac5,out_jac3
q1,0,1,0,1,0.0,0,0.0039,0.0108,0.0139,0.0361
q1,0,2,1,1,0.0,0,0.0077,0.1304,0.0536,0.1189
q1,0,3,1,1,0.0,0,0.0317,0.1013,0.0381,0.075
q1,0,4,0,1,0.0,0,0.0046,0.0,0.011,0.0249
q1,0,5,0,1,0.0,0,0.002,0.0,0.0076,0.0148
q1,0,6,0,1,0.0,0,0.0,0.0,0.0062,0.0181
q1,0,7,0,1,0.0,0,0.0088,0.0456,0.0138,0.0348
q1,0,8,0,1,0.0,0,0.0161,0.062,0.0196,0.041
q1,0,9,0,0,0.0,0,0.0029,0.0,0.0034,0.0091
q1,0,10,0,0,0.0,0,0.002,0.0172,0.01,0.0244
q1,0,11,0,0,0.0,0,0.0038,0.0,0.0119,0.0324
q1,0,12,0,0,0.0,0,0.002,0.0,0.0087,0.021
q1,0,13,0,0,0.0,0,0.0064,0.0,0.0096,0.0277
q1,0,14,0,0,0.0,0,0.0018,0.0608,0.0196,0.0501
q1,0,15,0,0,0.0,0,0.0013,0.0,0.0126,0.0321
q1,0,16,0,0,0.0,0,0.0,0.0304,0.007,0.0237
q1,0,17,0,0,0.0,0,0.0,0.0203,0.0074,0.0278
q1,0,18,0,0,0.0,0,0.0048,0.0,0.0012,0.0072
q1,0,19,0,0,0.0,0,0.002,0.0,0.0,0.0043
q1,0,20,0,0,0.0,0,0.0064,0.0,0.0101,0.0265
q1,0,21,0,0,0.0,0,0.0112,0.0,0.0087,0.023
q1,0,22,0,0,0.0,0,0.0,0.0,0.0077,0.0257
q1,0,23,0,0,0.0,0,0.0082,0.0,0.0064,0.0196
q1,0,24,0,0,0.0,0,0.0046,0.0,0.0074,0.0227
q1,0,25,0,0,0.0,0,0.009,0.0101,0.0078,0.0295
q1,0,26,0,0,0.0,0,0.0048,0.0,0.0114,0.027
q1,1,2,0,1,0.1667,1,0.4545,0.046,0.0231,0.064
q1,1,3,0,1,0.0,0,0.0013,0.0,0.0075,0.0305
q1,1,4,0,1,0.0,0,0.0019,0.0108,0.0063,0.0327
q1,1,5,0,1,0.125,1,0.1538,0.0447,0.0185,0.0544
q1,1,6,0,1,0.0,0,0.0,0.0108,0.007,0.0277
q1,1,7,1,1,0.0,0,0.0009,0.0122,0.0089,0.0387
q1,1,8,1,1,0.1667,1,0.1239,0.0419,0.0178,0.0557
q1,1,9,0,0,0.0,0,0.007,0.0,0.0046,0.0119
q1,1,10,0,0,0.1667,1,0.2571,0.0193,0.0168,0.0449
q1,1,11,0,0,0.125,1,0.1441,0.0,0.0032,0.0249
q1,1,12,0,0,0.1429,1,0.2521,0.0123,0.0113,0.0356
q1,1,13,0,0,0.0,0,0.0013,0.0,0.0042,0.0212
q1,1,14,0,0,0.0,0,0.0042,0.0,0.0024,0.0176
q1,1,15,0,0,0.0,0,0.001,0.0325,0.0106,0.0381
q1,1,16,0,0,0.0,0,0.0,0.0,0.0057,0.0275
q1,1,17,0,0,0.0,0,0.0,0.0,0.0019,0.0265
q1,1,18,0,0,0.1429,1,0.355,0.0,0.0026,0.0164
q1,1,19,0,0,0.125,1,0.0233,0.0,0.0,0.0103
q1,1,20,0,0,0.1667,1,0.0405,0.0,0.0043,0.029
q1,1,21,0,0,0.1667,1,0.0186,0.0162,0.0066,0.0233
q1,1,22,0,0,0.125,1,0.0222,0.0126,0.0086,0.0308
q1,1,23,0,0,0.0,0,0.0009,0.0,0.0057,0.0178
q1,1,24,0,0,0.0,0,0.0009,0.0,0.0042,0.0271
q1,1,25,0,0,0.0,0,0.0009,0.0338,0.0098,0.0298
q1,1,26,0,0,0.1429,1,0.1488,0.0974,0.0294,0.0638
q1,2,3,1,1,0.0,0,0.0033,0.2788,0.0579,0.0866
q1,2,4,0,1,0.0,0,0.012,0.1911,0.0262,0.0426
q1,2,5,0,1,0.3333,2,0.1362,0.0296,0.014,0.0323
q1,2,6,0,1,0.0,0,0.0018,0.0091,0.0066,0.0243
q1,2,7,0,1,0.0,0,0.0073,0.2253,0.0286,0.0569
q1,2,8,0,1,0.2,1,0.1307,0.198,0.028,0.0493
q1,2,9,0,0,0.0,0,0.0146,0.0,0.0021,0.0073
q1,2,10,0,0,0.2,1,0.1313,0.0,0.0026,0.0171
q1,2,11,0,0,0.1429,1,0.116,0.0618,0.0206,0.0386
q1,2,12,0,0,0.1667,1,0.2161,0.0184,0.0113,0.0301
q1,2,13,0,0,0.0,0,0.0077,0.2321,0.0307,0.0483
q1,2,14,0,0,0.0,0,0.004,0.1585,0.0287,0.0636
q1,2,15,0,0,0.0,0,0.0023,0.1355,0.0267,0.0443
q1,2,16,0,0,0.0,0,0.0056,0.1775,0.0365,0.0629
q1,2,17,0,0,0.0,0,0.0043,0.1786,0.0318,0.068
q1,2,18,0,0,0.1667,1,0.2258,0.0,0.0,0.0068
q1,2,19,0,0,0.1429,1,0.0379,0.0,0.0,0.0054
q1,2,20,0,0,0.2,1,0.0288,0.0698,0.0202,0.0385
q1,2,21,0,0,0.2,1,0.0139,0.0497,0.0183,0.0363
q1,2,22,0,0,0.1429,1,0.027,0.0601,0.0155,0.032
q1,2,23,0,0,0.0,0,0.0008,0.0622,0.0169,0.0294
q1,2,24,0,0,0.0,0,0.0,0.1272,0.0238,0.0375
q1,2,25,0,0,0.0,0,0.0018,0.0364,0.0058,0.0308
q1,2,26,0,0,0.1667,1,0.1357,0.1445,0.0291,0.0481
q1,3,4,0,1,0.0,0,0.0324,0.1923,0.0261,0.049
q1,3,5,0,1,0.0,0,0.0314,0.0805,0.0137,0.031
q1,3,6,0,1,0.0,0,0.0053,0.0,0.0086,0.0322
q1,3,7,0,1,0.0,0,0.0149,0.1767,0.0258,0.0539
q1,3,8,0,1,0.0,0,0.0387,0.2151,0.029,0.06
q1,3,9,0,0,0.0,0,0.0071,0.0,0.0033,0.0125
q1,3,10,0,0,0.0,0,0.0026,0.0322,0.0152,0.0375
q1,3,11,0,0,0.0,0,0.0189,0.0881,0.0316,0.0559
q1,3,12,0,0,0.0,0,0.0,0.0123,0.0077,0.0232
q1,3,13,0,0,0.1667,1,0.2454,0.238,0.0401,0.0763
q1,3,14,0,0,0.0,0,0.0019,0.0,0.0107,0.0308
q1,3,15,0,0,0.0,0,0.0277,0.0753,0.0205,0.0385
q1,3,16,0,0,0.0,0,0.0383,0.1178,0.0251,0.0422
q1,3,17,0,0,0.0,0,0.0008,0.0601,0.0191,0.0333
q1,3,18,0,0,0.0,0,0.0086,0.0,0.0024,0.0112
q1,3,19,0,0,0.0,0,0.0045,0.0,0.0012,0.0055
q1,3,20,0,0,0.1667,1,0.0936,0.0838,0.0251,0.0454
q1,3,21,0,0,0.1667,1,0.0893,0.0596,0.0261,0.0552
q1,3,22,0,0,0.0,0,0.001,0.0979,0.0213,0.039
q1,3,23,0,0,0.1667,1,0.1807,0.0966,0.0295,0.05
q1,3,24,0,0,0.1429,1,0.0899,0.1433,0.0329,0.0598
q1,3,25,0,0,0.1667,1,0.0335,0.0,0.0059,0.0319
q1,3,26,0,0,0.0,0,0.0491,0.1587,0.0259,0.0494
q1,4,5,1,1,0.3333,2,0.4063,0.1532,0.0678,0.134
q1,4,6,1,1,0.0,0,0.0034,0.0988,0.0337,0.071
q1,4,7,0,1,0.0,0,0.0221,0.1487,0.0207,0.0486
q1,4,8,0,1,0.2,1,0.348,0.4427,0.1438,0.2081
q1,4,9,0,0,0.0,0,0.0494,0.0,0.0049,0.021
q1,4,10,0,0,0.0,0,0.0053,0.0172,0.0048,0.0325
q1,4,11,0,0,0.0,0,0.0037,0.0371,0.0129,0.0259
q1,4,12,0,0,0.0,0,0.0125,0.0261,0.01,0.0369
q1,4,13,0,0,0.2,1,0.1364,0.1271,0.0231,0.0443
q1,4,14,0,0,0.25,1,0.0171,0.0,0.0077,0.0212
q1,4,15,0,0,0.0,0,0.0021,0.1217,0.0191,0.0309
q1,4,16,0,0,0.0,0,0.0367,0.0783,0.0167,0.0297
q1,4,17,0,0,0.0,0,0.0042,0.067,0.0132,0.0216
q1,4,18,0,0,0.0,0,0.0062,0.0,0.0011,0.0048
q1,4,19,0,0,0.0,0,0.0176,0.0,0.0,0.0048
q1,4,20,0,0,0.0,0,0.0114,0.0419,0.0121,0.024
q1,4,21,0,0,0.0,0,0.1078,0.0298,0.0113,0.0383
q1,4,22,0,0,0.0,0,0.0133,0.0713,0.0147,0.0327
q1,4,23,0,0,0.0,0,0.1166,0.0622,0.016,0.0313
q1,4,24,0,0,0.0,0,0.0107,0.1199,0.0195,0.0415
q1,4,25,0,0,0.0,0,0.0161,0.0091,0.0039,0.0199
q1,4,26,0,0,0.1667,1,0.1589,0.1385,0.0555,0.0991
q1,5,6,1,1,0.0,0,0.0,0.1005,0.0272,0.0615
q1,5,7,0,1,0.0,0,0.0,0.0,0.0061,0.0338
q1,5,8,0,1,0.3333,2,0.2998,0.0926,0.0316,0.0675
q1,5,9,0,0,0.0,0,0.0008,0.0,0.003,0.015
q1,5,10,0,0,0.1429,1,0.2998,0.0215,0.009,0.0269
q1,5,11,0,0,0.1111,1,0.2206,0.0,0.005,0.0163
q1,5,12,0,0,0.125,1,0.2171,0.0138,0.0065,0.0278
q1,5,13,0,0,0.1429,1,0.1069,0.0181,0.0089,0.023
q1,5,14,0,0,0.1667,1,0.0276,0.0,0.0021,0.0236
q1,5,15,0,0,0.0,0,0.0021,0.0301,0.0054,0.0194
q1,5,16,0,0,0.0,0,0.0265,0.009,0.0097,0.0447
q1,5,17,0,0,0.0,0,0.0147,0.0192,0.0058,0.0287
q1,5,18,0,0,0.125,1,0.2337,0.0559,0.0043,0.0076
q1,5,19,0,0,0.1111,1,0.1083,0.0,0.0011,0.0063
q1,5,20,0,0,0.1429,1,0.1276,0.0,0.0015,0.01
q1,5,21,0,0,0.1429,1,0.1168,0.0,0.0033,0.0137
q1,5,22,0,0,0.1111,1,0.126,0.0238,0.0113,0.0252
q1,5,23,0,0,0.0,0,0.0098,0.0212,0.0109,0.0251
q1,5,24,0,0,0.0,0,0.0098,0.0234,0.0082,0.0262
q1,5,25,0,0,0.0,0,0.0091,0.009,0.0045,0.0177
q1,5,26,0,0,0.2857,2,0.4053,0.0813,0.0386,0.0775
q1,6,7,0,1,0.0,0,0.0072,0.0252,0.0129,0.039
q1,6,8,0,1,0.0,0,0.0021,0.009,0.0092,0.043
q1,6,9,0,0,0.0,0,0.0073,0.0,0.0026,0.0112
q1,6,10,0,0,0.0,0,0.0084,0.0,0.0014,0.0172
q1,6,11,0,0,0.0,0,0.0009,0.0,0.0065,0.0244
q1,6,12,0,0,0.0,0,0.0024,0.0123,0.0039,0.0199
q1,6,13,0,0,0.0,0,0.0143,0.0,0.0087,0.0317
q1,6,14,0,0,0.0,0,0.0,0.0,0.0077,0.0295
q1,6,15,0,0,0.0,0,0.0,0.0,0.0043,0.0216
q1,6,16,0,0,0.0,0,0.0259,0.0,0.0082,0.026
q1,6,17,0,0,0.0,0,0.0033,0.0,0.0058,0.0232
q1,6,18,0,0,0.0,0,0.0009,0.0,0.0,0.0055
q1,6,19,0,0,0.0,0,0.0035,0.0,0.0,0.0055
q1,6,20,0,0,0.0,0,0.0035,0.0,0.0054,0.0183
q1,6,21,0,0,0.0,0,0.0035,0.0,0.0048,0.0193
q1,6,22,0,0,0.0,0,0.0035,0.0,0.0038,0.0238
q1,6,23,0,0,0.0,0,0.0147,0.0,0.0033,0.0203
q1,6,24,0,0,0.0,0,0.0035,0.0,0.0073,0.0382
q1,6,25,0,0,0.0,0,0.0078,0.0072,0.0051,0.0183
q1,6,26,0,0,0.0,0,0.0009,0.0099,0.0113,0.0404
q1,7,8,1,1,0.0,0,0.0265,0.2073,0.03,0.0621
q1,7,9,0,0,0.0,0,0.0079,0.0,0.0029,0.0131
q1,7,10,0,0,0.0,0,0.0013,0.0,0.0056,0.015
q1,7,11,0,0,0.0,0,0.0028,0.0958,0.027,0.0523
q1,7,12,0,0,0.0,0,0.0021,0.0,0.0051,0.0176
q1,7,13,0,0,0.0,0,0.0134,0.1481,0.0282,0.0448
q1,7,14,0,0,0.0,0,0.006,0.0,0.0078,0.0233
q1,7,15,0,0,0.0,0,0.0035,0.1066,0.0246,0.0497
q1,7,16,0,0,0.0,0,0.0043,0.1281,0.0214,0.0419
q1,7,17,0,0,0.0,0,0.0031,0.1217,0.0157,0.0257
q1,7,18,0,0,0.0,0,0.0044,0.0,0.0031,0.0093
q1,7,19,0,0,0.0,0,0.0087,0.0,0.0,0.0074
q1,7,20,0,0,0.0,0,0.0132,0.1117,0.0246,0.0419
q1,7,21,0,0,0.0,0,0.0151,0.0783,0.0221,0.0455
q1,7,22,0,0,0.0,0,0.0117,0.0839,0.0145,0.033
q1,7,23,0,0,0.0,0,0.0141,0.0675,0.0149,0.0318
q1,7,24,0,0,0.0,0,0.0106,0.1374,0.0206,0.0365
q1,7,25,0,0,0.0,0,0.0108,0.0145,0.0144,0.0428
q1,7,26,0,0,0.0,0,0.0078,0.1272,0.0293,0.0632
q1,8,9,0,0,0.0,0,0.0209,0.0,0.0032,0.0135
q1,8,10,0,0,0.2,1,0.1054,0.0172,0.0106,0.0371
q1,8,11,0,0,0.1429,1,0.1074,0.0371,0.0155,0.0376
q1,8,12,0,0,0.1667,1,0.114,0.0276,0.0102,0.0312
q1,8,13,0,0,0.2,1,0.1119,0.1195,0.0193,0.0405
q1,8,14,0,0,0.0,0,0.004,0.0211,0.0096,0.0225
q1,8,15,0,0,0.0,0,0.0023,0.1205,0.0153,0.0292
