q,idx,round,rq_id,n_urls,snippet_len,gen_len
q1,0,0,0,2,9077,790
q1,1,0,1,4,8473,739
q1,2,0,0,3,9933,879
q1,3,0,0,4,9557,832
q1,4,0,2,3,11675,881
q1,5,0,2,5,10001,886
q1,6,0,2,2,9120,1110
q1,7,0,1,2,9837,1433
q1,8,0,1,3,10642,1686
q1,9,1,3,5,12127,233
q1,10,1,3,3,10171,466
q1,11,1,4,5,8930,647
q1,12,1,3,4,9303,652
q1,13,1,4,3,12083,1222
q1,14,1,5,2,9477,757
q1,15,1,4,4,7664,797
q1,16,1,5,5,9324,960
q1,17,1,5,3,9825,1183
q1,18,2,6,4,9259,143
q1,19,2,7,5,9970,147
q1,20,2,7,3,11939,573
q1,21,2,7,3,11623,805
q1,22,2,6,5,8638,715
q1,23,2,6,3,11636,756
q1,24,2,8,4,11737,684
q1,25,2,8,3,10574,1170
q1,26,2,8,4,10152,1226
q2,0,0,0,4,11384,542
q2,1,0,0,4,10644,651
q2,2,0,1,5,35158,1069
q2,3,0,0,5,10309,808
q2,4,0,1,6,31825,1430
q2,5,0,1,4,39274,1678
q2,6,0,2,2,12086,1886
q2,7,0,2,2,11717,1920
q2,8,0,2,3,9862,2169
q3,0,0,0,4,9281,291
q3,1,0,0,3,13162,522
q3,2,0,0,4,11800,723
q3,3,0,1,4,8815,863
q3,4,0,2,4,11451,841
q3,5,0,1,4,8391,1010
q3,6,0,2,5,8857,1036
q3,7,0,1,2,9023,1195
q3,8,0,2,4,9608,1714
q3,9,1,3,4,6345,417
q3,10,1,4,3,11424,700
q3,11,1,3,5,7594,692
q3,12,1,4,5,8895,1026
q3,13,1,5,5,9960,1065
q3,14,1,4,6,9397,1122
q3,15,1,5,5,10036,740
q3,16,1,3,3,9382,706
q3,17,1,5,4,8904,941
q3,18,2,6,6,7623,824
q3,19,2,6,4,7341,903
q3,20,2,7,3,10996,1005
q3,21,2,6,5,11241,1295
q3,22,2,7,3,8726,998
q3,23,2,7,3,10555,905
q4,0,0,0,4,9908,788
q4,1,0,0,5,10163,965
q4,2,0,1,5,12442,907
q4,3,0,2,6,11203,998
q4,4,0,2,6,9040,1355
q4,5,0,2,3,11724,1081
q4,6,0,1,4,10278,1336
q4,7,0,1,4,10874,1308
q4,8,0,0,4,10615,1594
q5,0,0,0,5,14580,694
q5,1,0,1,3,9867,961
q5,2,0,1,4,11890,1332
q5,3,0,1,5,11436,1095
q5,4,0,2,4,8416,1199
q5,5,0,0,3,11519,880
q5,6,0,2,4,8142,896
q5,7,0,0,2,8213,1025
q5,8,0,2,2,9194,1101
q5,9,1,3,5,12574,619
q5,10,1,4,5,12685,659
q5,11,1,5,5,9973,852
q5,12,1,4,5,11231,970
q5,13,1,4,3,9946,1111
q5,14,1,3,4,31670,1194
q5,15,1,5,4,9742,1199
q5,16,1,5,3,9568,1414
q5,17,1,3,4,12245,1680
q5,18,2,6,4,9053,446
q5,19,2,7,5,9044,748
q5,20,2,8,2,13034,881
q5,21,2,6,3,11059,942
q5,22,2,6,4,12725,1001
q5,23,2,8,6,10960,1007
q5,24,2,8,3,11194,1177
q5,25,2,7,3,8941,1028
q5,26,2,7,2,9475,400
q6,0,0,0,4,10710,1704
q6,1,0,1,5,10443,1510
q6,2,0,1,6,10283,1690
q6,3,0,0,4,8814,2105
q6,4,0,2,4,10998,2354
q6,5,0,0,5,9268,2900
q6,6,0,2,5,12273,2496
q6,7,0,2,4,11517,2268
q6,8,0,1,4,10319,8654
q7,0,0,0,3,9856,329
q7,1,0,1,6,8906,214
q7,2,0,0,5,8877,201
q7,3,0,1,6,10671,255
q7,4,0,0,4,10020,284
q7,5,0,2,4,8243,1063
q7,6,0,2,5,8301,920
q7,7,0,1,5,11414,903
q7,8,0,2,3,8845,984
q7,9,1,3,3,8727,648
q7,10,1,4,3,8286,900
q7,11,1,4,3,8835,638
q7,12,1,3,3,13184,586
q7,13,1,5,3,9027,631
q7,14,1,3,3,9385,715
q7,15,1,4,3,9217,930
q7,16,1,5,3,9141,1095
q7,17,1,5,4,13337,1133
q7,18,2,6,5,9649,373
q7,19,2,7,5,9215,1049
q7,20,2,8,2,9222,796
q7,21,2,7,5,9073,781
q7,22,2,6,2,9642,900
q7,23,2,6,4,8892,912
q7,24,2,8,5,9537,925
q7,25,2,8,6,9196,1035
q7,26,2,7,4,8800,1117
q8,0,0,0,2,12873,840
q8,1,0,0,2,11003,819
q8,2,0,1,4,11259,963
q8,3,0,0,2,10647,1019
q8,4,0,2,4,13803,1098
q8,5,0,2,2,12608,1160
q8,6,0,1,5,10520,1195
q8,7,0,1,1,12275,1416
q8,8,0,2,5,13791,2491
q9,0,0,0,6,8863,215
q9,1,0,1,6,20091,613
q9,2,0,1,4,18379,352
q9,3,0,0,5,12272,409
q9,4,0,2,5,12779,453
q9,5,0,0,6,8495,681
q9,6,0,1,4,10608,663
q9,7,0,2,5,13234,749
q9,8,0,2,5,12747,1142
q9,9,1,3,6,9905,287
q9,10,1,4,4,15380,357
q9,11,1,4,5,11159,543
q9,12,1,4,5,11437,664
q9,13,1,5,6,15723,609
q9,14,1,5,4,14828,641
q9,15,1,5,5,12130,815
q9,16,1,3,5,10999,1090
q9,17,1,3,3,10276,616
q10,0,0,0,4,12081,545
q10,1,0,1,4,10365,750
q10,2,0,1,2,11249,675
q10,3,0,1,3,12128,769
q10,4,0,0,4,9037,1061
q10,5,0,2,2,10179,898
q10,6,0,2,6,8921,1318
q10,7,0,0,4,9432,1230
q10,8,0,2,4,8463,688
q10,9,1,3,4,11201,412
q10,10,1,3,6,6901,611
q10,11,1,3,4,13101,801
q10,12,1,4,3,10722,826
q10,13,1,5,4,9927,1182
q10,14,1,5,2,10223,1203
q10,15,1,5,3,10750,1269
q10,16,1,4,3,10151,1245
q10,17,1,4,4,10224,1348
q10,18,2,6,6,8783,461
q10,19,2,6,5,11081,858
q10,20,2,6,4,10018,1074
q10,21,2,7,3,10147,883
q10,22,2,7,4,9262,868
q10,23,2,8,4,14850,794
q10,24,2,8,3,11387,1101
q10,25,2,8,3,10468,1211
q10,26,2,7,4,9884,1457
q11,0,0,0,4,6524,206
q11,1,0,1,5,15719,315
q11,2,0,2,3,9054,767
q11,3,0,0,6,6685,880
q11,4,0,1,4,8236,523
q11,5,0,0,3,13025,907
q11,6,0,2,4,10281,1062
q11,7,0,2,5,13667,1134
q11,8,0,1,2,8650,670
q11,9,1,3,5,8702,121
q11,10,1,3,4,8989,155
q11,11,1,3,4,10666,202
q11,12,1,4,3,7944,245
q11,13,1,4,4,11053,517
q11,14,1,5,3,11442,673
q11,15,1,5,6,9381,764
q11,16,1,5,3,10923,862
q11,17,1,4,2,11483,759
q12,0,0,0,4,12083,578
q12,1,0,0,4,8820,521
q12,2,0,1,3,6681,845
q12,3,0,0,5,9202,813
q12,4,0,1,5,11701,859
q12,5,0,2,5,9289,1062
q12,6,0,2,5,8719,1071
q12,7,0,2,4,9273,1167
q12,8,0,1,4,9362,1334
q13,0,0,0,6,14552,251
q13,1,0,0,6,14870,409
q13,2,0,1,4,14179,626
q13,3,0,1,4,12954,722
q13,4,0,2,5,11933,831
q13,5,0,2,5,11473,900
q13,6,0,2,3,11382,1005
q13,7,0,1,4,12217,1210
q13,8,0,0,1,9787,1102
q13,9,1,3,5,7980,278
q13,10,1,3,4,11283,398
q13,11,1,3,3,11885,509
