i,tag,rp_cov8,rp_cov30,rp_longest,rp_nspans8,ex_cov8,ex_cov30,ex_longest,ex_nspans8,tok_n,tok_cov4,tok_cov8,tok_cov16,tok_cov24,tok_longest,tok_nspans4,harvest_frac,speedup
0,RESEARCH_SUMMARY_TEXT,0.1076,0.0,15,9,0.1362,0.0,15,13,510,0.1863,0.0314,0.0,0.0,8,17,0.0824,0.831
1,RESEARCH_SUMMARY_TEXT,0.2985,0.0311,33,19,0.2566,0.0,28,12,632,0.4209,0.1329,0.0285,0.0,18,41,0.2057,1.044
2,RESEARCH_SUMMARY_TEXT,0.276,0.0,17,6,0.269,0.0,17,7,219,0.4338,0.1826,0.0,0.0,11,13,0.2283,1.099
3,RESEARCH_SUMMARY_TEXT,0.218,0.0,20,20,0.3473,0.0,19,16,637,0.3312,0.1068,0.0,0.0,13,34,0.1617,0.893
4,RESEARCH_SUMMARY_TEXT,0.4232,0.0,22,22,0.1994,0.0,19,11,403,0.4417,0.2779,0.0,0.0,14,23,0.2531,0.753
5,RESEARCH_SUMMARY_TEXT,0.253,0.0,27,12,0.242,0.0,27,10,390,0.3077,0.0897,0.0,0.0,15,20,0.1513,0.779
6,RESEARCH_SUMMARY_TEXT,0.2436,0.0,27,6,0.3163,0.0,27,9,273,0.3736,0.1722,0.0623,0.0,17,13,0.1978,0.936
7,RESEARCH_SUMMARY_TEXT,0.4612,0.12,65,18,0.4545,0.1212,65,18,393,0.3003,0.1883,0.0,0.0,15,15,0.1832,0.985
8,RESEARCH_SUMMARY_TEXT,0.3437,0.0,21,14,0.353,0.0,23,16,341,0.3343,0.1261,0.0,0.0,11,17,0.176,0.907
9,RESEARCH_SUMMARY_TEXT,0.5613,0.0,26,9,0.6905,0.0,26,9,165,0.5394,0.3576,0.0,0.0,13,11,0.3394,0.974
10,RESEARCH_SUMMARY_TEXT,0.7158,0.3882,50,18,0.7305,0.4391,50,15,314,0.6019,0.4873,0.2516,0.0,22,16,0.4427,1.717
11,RESEARCH_SUMMARY_TEXT,0.2027,0.0,18,19,0.1835,0.0,18,18,715,0.4517,0.1385,0.0,0.0,13,48,0.2084,1.1
12,RESEARCH_SUMMARY_TEXT,0.243,0.0,28,12,0.28,0.0,29,16,457,0.2538,0.0635,0.0394,0.0,18,16,0.1247,0.913
13,RESEARCH_SUMMARY_TEXT,0.4667,0.1017,42,28,0.4378,0.0587,37,30,625,0.5376,0.28,0.096,0.0,22,39,0.304,1.081
14,RESEARCH_SUMMARY_TEXT,0.3355,0.0,18,18,0.3333,0.0,18,18,359,0.4039,0.1616,0.0,0.0,13,16,0.2173,0.938
15,RESEARCH_SUMMARY_TEXT,0.2054,0.0261,30,18,0.2809,0.07,51,23,621,0.2576,0.0902,0.0306,0.0,19,27,0.124,0.959
16,RESEARCH_SUMMARY_TEXT,0.096,0.0,16,4,0.096,0.0,16,4,270,0.2074,0.0667,0.0,0.0,10,10,0.0963,0.888
17,RESEARCH_SUMMARY_TEXT,0.7267,0.0711,32,17,0.7267,0.0711,32,17,285,0.7719,0.5474,0.2175,0.0,22,17,0.5228,1.515
18,RESEARCH_SUMMARY_TEXT,0.1846,0.0,15,9,0.1847,0.0,15,9,319,0.2351,0.0376,0.0,0.0,12,13,0.1034,1.052
19,RESEARCH_SUMMARY_TEXT,0.2598,0.0583,37,12,0.2824,0.0,14,6,361,0.3102,0.1053,0.0609,0.0,22,16,0.1634,2.558
20,RESEARCH_SUMMARY_TEXT,0.1462,0.0,14,12,0.0955,0.0,12,7,473,0.222,0.0634,0.0,0.0,11,18,0.1057,1.104
