i,tag,tok_n,harvest,tok_cov8,tok_longest,spd,spd_raw
0,SUM,510,0.0824,0.0314,8,0.887,0.831
1,SUM,632,0.2057,0.1329,18,1.071,1.044
2,SUM,219,0.2283,0.1826,11,0.959,1.099
3,SUM,637,0.1617,0.1068,13,1.04,0.893
4,SUM,403,0.2531,0.2779,14,0.879,0.753
5,SUM,390,0.1513,0.0897,15,0.887,0.779
6,SUM,273,0.1978,0.1722,17,1.071,0.936
7,SUM,393,0.1832,0.1883,15,0.98,0.985
8,SUM,341,0.176,0.1261,11,0.916,0.907
9,SUM,165,0.3394,0.3576,13,1.126,0.974
10,SUM,314,0.4427,0.4873,22,1.52,1.717
11,SUM,715,0.2084,0.1385,13,1.045,1.1
12,SUM,457,0.1247,0.0635,18,0.913,0.913
13,SUM,625,0.304,0.28,22,1.089,1.081
14,SUM,359,0.2173,0.1616,13,0.994,0.938
15,SUM,621,0.124,0.0902,19,0.919,0.959
16,SUM,270,0.0963,0.0667,10,0.874,0.888
17,SUM,285,0.5228,0.5474,22,1.445,1.515
18,SUM,319,0.1034,0.0376,12,0.999,1.052
19,SUM,361,0.1634,0.1053,22,0.877,2.558
20,SUM,473,0.1057,0.0634,11,0.96,1.104
21,SUM,476,0.2332,0.0735,10,1.144,1.141
22,SUM,339,0.0944,0.059,12,0.844,0.593
23,SUM,586,0.1826,0.1758,25,2.555,0.337
24,SUM,131,0.0229,0.0,4,0.837,0.762
25,SUM,722,0.1551,0.1025,11,0.96,1.137
26,SUM,560,0.2107,0.1446,17,1.033,0.912
27,SUM,349,0.3524,0.3496,22,1.261,1.506
28,SUM,339,0.056,0.0413,14,0.798,0.778
29,SUM,254,0.0236,0.0,7,0.837,0.627
30,SUM,563,0.0391,0.016,9,0.766,1.172
31,SUM,1005,0.1144,0.0886,14,0.846,0.75
32,SUM,882,0.0873,0.051,11,0.918,1.03
33,SUM,450,0.1111,0.0556,9,0.868,0.968
34,SUM,1080,0.3324,0.3407,50,1.407,1.516
35,SUM,642,0.271,0.2804,26,0.97,0.984
36,SUM,431,0.1276,0.109,19,0.803,0.797
37,SUM,257,0.2724,0.179,17,0.886,0.757
38,SUM,487,0.0226,0.0,6,0.814,0.88
39,SUM,530,0.1698,0.1453,12,0.82,0.832
40,SUM,836,0.0778,0.0323,9,0.779,0.857
41,SUM,541,0.0702,0.0481,10,0.763,0.874
42,SUM,942,0.3259,0.2994,20,1.106,0.992
43,SUM,461,0.1171,0.0672,14,0.802,0.79
44,SUM,594,0.0791,0.0236,14,0.801,0.81
45,SUM,434,0.2235,0.2143,22,0.875,0.87
46,SUM,429,0.1026,0.0559,8,0.816,0.533
47,SUM,816,0.2733,0.2279,22,1.075,1.073
48,SUM,712,0.0463,0.0,7,0.714,0.699
49,SUM,278,0.0827,0.0719,12,0.804,0.8
50,SUM,297,0.1751,0.1582,17,0.803,0.712
51,SUM,297,0.1347,0.1212,17,0.88,1.148
52,SUM,619,0.0598,0.0355,14,0.745,0.801
53,SUM,483,0.0952,0.0414,10,0.784,0.622
54,SUM,300,0.0533,0.0267,8,0.74,0.74
55,SUM,386,0.1036,0.0544,21,0.857,0.951
56,SUM,603,0.0216,0.0149,9,0.861,0.756
57,SUM,551,0.1887,0.1597,20,0.954,0.72
58,SUM,748,0.1524,0.1257,19,0.857,0.877
59,SUM,592,0.1267,0.0659,17,0.883,0.831
60,REP,3806,0.7231,0.7898,85,2.464,2.525
61,REP,4186,0.7105,0.7573,140,1.876,2.906
62,REP,1829,0.5036,0.5353,40,1.68,1.443
63,REP,5953,0.7448,0.8194,67,2.413,2.362
64,REP,2854,0.6885,0.7463,190,1.969,2.031
65,REP,3099,0.7086,0.7796,49,2.225,2.398
66,REP,3564,0.6754,0.7368,307,2.176,2.165
67,REP,3654,0.7427,0.8005,119,2.341,2.027
68,REP,3134,0.702,0.7607,80,2.004,1.917
69,REP,3739,0.7384,0.7737,153,2.324,2.335
70,REP,4314,0.5563,0.5939,44,2.005,1.588
71,REP,2950,0.419,0.4508,50,1.42,1.473
72,REP,3478,0.6633,0.7205,81,1.91,1.822
73,REP,4384,0.5219,0.5892,43,1.442,1.646
74,REP,2921,0.582,0.6255,39,1.682,1.908
75,REP,2543,0.5619,0.595,89,1.574,1.589
76,REP,3474,0.5337,0.5774,62,1.872,1.846
77,REP,2954,0.3653,0.3741,46,1.269,1.241
78,REP,3574,0.5887,0.6472,82,1.644,1.77
79,REP,3297,0.4359,0.4504,43,1.366,1.357
